9428D;COOP LANGUIRU - BRACADEIRA - UNILEVE 1001 BRANCO - CONF;ITEM INATIVO UTILIZAR MODELO C9428D
9539C;COOP LANGUIRU - BRACADEIRA - UNILEVE 1015 VERDE - CONF;ITEM INATIVO UTILIZAR MODELO C9539C
9637E;COOP LANGUIRU - BRACADEIRA - UNISOFT 1233 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9637E
9121E;COSMA DO BRASIL - BRACADEIRA BRIGADA - UNILEVE 1013 VERMELHO - CONF;ITEM INATIVO UTILIZAR MODELO C9121E
9355E;EATON - BRACADEIRA - UNIQUALITY 1013 VERM - CONF1AA;ITEM INATIVO UTILIZAR MODELO C9355E
9966F;PISANI - BRACADEIRA BRIGADA - UNISOFT 1233 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9966F
9102G;ARGENTAUREOS - BRACADEIRA - UNISOFT 1233 VERM - CONF1;ITEM INATIVO UTILIZAR MODELO C9102G
9898D;ZM - BRACADEIRA - UNILEVE 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9898D
9133G;GENTNER  - BRACADEIRA - UNISOFT 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9133G
9250G;RANDON - BRACADEIRA - UNISOFT 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9250G
9251G;RANDON - BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9251G
9252G;RANDON - BRACADEIRA - UNISOFT 1016 PRETO - CONF1;ITEM INATIVO UTILIZAR MODELO C9252G
9291G;RANDON - BRACADEIRA CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9291G
9303G;FLORYBAL - BRACADEIRA CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9303G
9739E;COOP LANGUIRU - BRACADEIRA - UNILEVE 1001 BRANCO - CONF1;ITEM INATIVO UTILIZAR MODELO C9739E
9706F;GENTNER - BRACADEIRA TREINAMENTO - UNISOFT 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9706F
9862E;FROST FRIO - BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9862E
9532G;RANDON  - BRACADEIRA CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9532G
9636G;COOP LANGUIRU - BRACADEIRA - UNISOFT 1001 BRANCO - CONF;ITEM INATIVO UTILIZAR MODELO C9636G
9629G;MUNDIAL - BRACADEIRA - UNISOFT 1233 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9629G
9843F;JOST - BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9843F
9586G;TODESCHINI SA - BRACADEIRA - UNISOFT 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9586G
9587G;TODESCHINI SA - BRACADEIRA - UNISOFT 1003 AZ CELESTE - CONF1;ITEM INATIVO UTILIZAR MODELO C9587G
9588G;TODESCHINI SA - BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9588G
9549G;MASCARELLO - BRACADEIRA - NEOPLEX 2MM AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9549G
9691G;AAM -  BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9691G
9301G;FLORYBAL - BRACADEIRA BOMBEIRO - UNISOFT 1233 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9301G
9696G;FREIOS CONTROIL - BRACADEIRA - UNIQUALITY 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9696G
9896F;ESINGER - BRACADEIRA BRIGADA - UNISOFT 1009 CINZA - CONF1;ITEM INATIVO UTILIZAR MODELO C9896F
9749G;FLORESTAL - BRACADEIRA BOMB - UNISOFT 1233 VERM - CONF1;ITEM INATIVO UTILIZAR MODELO C9749G
9844D;COOP LANGUIRU - BRACADEIRA - UNILEVE 1001 BRANCO - CONF;ITEM INATIVO UTILIZAR MODELO C9844D
9980E;COOP LANGUIRU - BRACADEIRA - UNIQUALITY 1007 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9980E
9872F;RANDON TRIEL - BRACADEIRA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9872F
9900F;AGCO - BRACADEIRA - UNISOFT 1029 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9900F
9261C;FUTURE - BRACADEIRA BRIGADA - UNILEVE 1013 VERMELHO - CONF;ITEM INATIVO UTILIZAR MODELO C9261C
9809G;FLORYBAL - BRACADEIRA BOMBEIRO - UNISOFT 1233 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9809G
9810G;FLORYBAL - BRACADEIRA BOMBEIRO - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9810G
9763G;MARCOPOLO - BRACADEIRA - UNIVERSAL 1038 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9763G
9833G;HYOSUNG  - BRACADEIRA CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9833G
9834G;HYOSUNG  - BRACADEIRA CIPA - UNISOFT 1232 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9834G
9080D;BEPO - BRACADEIRA - UNILEVE 1012 LARANJA - CONF;ITEM INATIVO UTILIZAR MODELO C9080D
9531E-P;MASCARELLO - BRACADEIRA - CEDROPAC LEVE  3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9531E
9905G;AGCO - BRACADEIRA - UNILEVE 1003 AZ CELESTE - CONF1;ITEM INATIVO UTILIZAR MODELO C9905G
9653G;TODESCHINI - BRACADEIRA CIPA - UNISOFT 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9653G
9531E-M;MASCARELLO - BRACADEIRA - CEDROPAC LEVE  3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9531E
9533E-G;MASCARELLO - BRACADEIRA - UNIQUALITY 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9533E
9533E-M;MASCARELLO - BRACADEIRA - UNIQUALITY 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9533E
9533E-P;MASCARELLO - BRACADEIRA - UNIQUALITY 1013 VERMELHO - CONF1;ITEM INATIVO UTILIZAR MODELO C9533E
9645G;AGCO - BRACADEIRA - UNISOFT 1003 AZUL - CONF1;ITEM INATIVO UTILIZAR MODELO C9645G
9903G;BOSAL DO BRASIL - BRACADEIRA - CEDROPAC 3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9903G
9935G;MARCOPLO - BRACADEIRA - UNILUX CONFORT 5137 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9935G
9254C;SAO MARCOS - BRACADEIRA BRIGADA - UNILEVE 1013 VERMELHO - CONF;ITEM INATIVO UTILIZAR MODELO C9254C
9916G;FLORYBAL - BRACADEIRA BOMBEIRO - UNISOFT 1233 VERM - CONF1;ITEM INATIVO UTILIZAR MODELO C9916G
9922G;FLORYBAL - BRACADEIRA CIPA  - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9922G
9981G;RANDON - BRACADEIRA - CEDROPAC LEVE 3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9981G
9982G;RANDON - BRACADEIRA - UNIQUALITY 1015 VERDE  - CONF1;ITEM INATIVO UTILIZAR MODELO C9982G
9970G;DOCILE - BRACADEIRA - CEDROPAC LEVE 3135 AMARELO - CONF1;ITEM INATIVO UTILIZAR MODELO C9970G
9487E;FORMPARTS - BRACADEIRA - UNILEVE 1012 LARANJA - CONF1;ITEM INATIVO UTILIZAR MODELO C9487E
9832G;RASIP - BRACADEIRA  CIPA - UNIQUALITY 1015 VERDE - CONF1;ITEM INATIVO UTILIZAR MODELO C9832G
